{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:16:30', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:21:39', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:26:48', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:31:59', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:37:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:42:17', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:47:27', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:52:36', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 07:57:46', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:02:57', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:08:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:13:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:18:26', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:23:35', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:28:45', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:33:55', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:39:05', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:44:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:49:26', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:54:36', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 08:59:45', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:04:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:10:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:15:17', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:20:27', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:25:37', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:30:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:35:57', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:41:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:46:18', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:51:28', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 09:56:38', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:01:48', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:06:58', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:12:08', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:17:18', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:22:28', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:27:38', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:32:48', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:37:58', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:43:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:48:17', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:53:27', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 10:58:38', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 11:03:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 11:08:57', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 11:14:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 11:19:18', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
